student_id,trial,passageA,passageB
1051001,100,100,100
3151601973,90,90,90
3151601974,90,90,90
1651500863,90,90,90
1651500858,90,90,90
1651500862,90,90,90
3151601975,90,90,90
1651500856,90,90,90
1651500857,100,100,90
1651500854,90,90,90
1651500853,90,90,90
1651500852,90,90,90
1651500861,90,90,90
1651500851,90,90,90
1651500860,90,90,90
1651500850,90,90,90
1651500866,90,90,90
1651500867,90,90,90
1651500865,90,90,90
1151500142,90,90,90
3351602425,90,90,90
1651500864,90,90,90
3351602427,90,90,90
3351602431,90,90,90
3351602426,90,90,90
4451001,70,0,0
3351602434,90,90,90
3351602430,90,90,90
3351602435,90,90,90
3351602433,90,90,90
3351602432,90,90,90
3351602440,90,90,90
3351602436,90,90,90
3351602439,90,90,90
3351602437,90,90,90
3351602428,90,90,90
3351602438,90,90,90
1151600153,90,90,90
1151600154,90,90,90
3351602429,90,90,90
6551605867,90,90,90
4351603648,90,90,90
6551605871,90,90,90
6551605874,90,90,90
6551605866,90,90,90
1551001,100,0,0
6351605704,90,90,90
6351605694,90,90,90
6351605701,90,90,90
6351605695,90,90,90
4351603647,90,90,90
6551605873,90,90,90
6551605875,90,90,90
6351605696,90,90,90
6351605700,100,90,100
6351605697,90,90,90
6351605705,90,90,90
6351605699,90,90,90
4351603646,90,90,90
6551605868,90,90,90
4351603653,90,90,90
4351603654,90,90,90
6351605702,90,90,90
6351605707,90,90,90
4351603655,90,90,90
4451603753,90,90,90
4351603627,90,90,90
3152602124,90,90,90
3152602127,90,90,90
3152602126,90,90,90
3152602130,90,90,90
3152602123,90,90,90
4351603628,90,90,90
3152602120,90,90,90
3152602122,90,90,90
4351603637,90,90,90
4351603629,90,90,90
4351603638,90,90,90
4351603640,90,90,90
4351603641,90,90,90
4351603613,90,90,90
4451603762,90,90,90
4351603615,90,90,90
4351603630,90,90,90
4451603758,90,90,90
4351603614,90,90,90
4351603612,90,90,90
3152602129,90,90,90
4451603756,90,90,90
4451603754,90,90,90
4451603774,90,90,90
3152602125,90,90,90
3152602121,90,90,90
4451603755,90,90,90
4451603772,100,90,100
4451603775,90,90,90
4351603645,90,90,90
4451603764,100,90,80
4451603776,90,90,90
4351603644,90,90,90
4451603769,100,90,100
4451503752,90,90,90
4451603767,90,90,90
4451503751,100,100,90
4451603757,90,90,90
4451603766,90,90,90
2151601061,90,90,90
3152602118,90,90,90
4451603773,100,90,90
4351603631,90,90,90
4451603770,90,90,90
4451603759,90,90,90
1151600155,90,90,90
4351603635,90,90,90
4351603632,90,90,90
4451603760,90,90,90
4451603763,90,90,90
4351603634,90,90,90
4351603633,90,90,90
2151601085,90,90,90
8151606850,90,90,90
4351603642,90,90,90
2151601060,90,90,90
2151601089,90,90,90
8151606863,90,90,90
8151606867,90,90,90
4451603768,90,90,90
4351603643,90,90,90
8151606849,90,90,90
8151606852,90,90,90
2151601087,90,90,90
8151606880,90,90,90
8151606862,90,90,90
8151606846,90,90,90
8151606872,90,90,90
8151606857,90,90,90
8151606847,90,90,90
8151606865,90,90,90
8151606859,90,90,90
8151606864,90,90,90
8151606878,90,90,90
8151606874,90,90,90
8151606860,90,90,90
4351603652,90,90,90
8151606855,90,90,90
8151606856,90,90,90
7251606486,90,90,90
8151606870,90,90,90
8151606877,90,90,90
8151606869,90,90,90
8151606873,90,90,90
2151601102,90,90,90
8151606871,90,90,90
4451603761,90,90,80
8151606854,90,90,90
8151606866,90,90,90
2151601090,90,90,90
2151601057,90,90,90
2151601080,90,90,90
2151601112,90,90,90
7251606487,90,90,90
2151601114,90,90,90
2151601110,90,90,90
2151601119,90,90,90
8351607216,90,90,90
5551605134,90,90,90
2151601113,90,90,90
4351603649,90,90,90
2151601081,90,90,90
2151601104,90,90,90
4351603650,90,90,90
2151601065,90,90,90
2151601066,90,90,90
6351605703,90,90,90
4351603622,90,90,90
7251606483,90,90,90
2151601059,90,90,90
7251606482,90,90,90
7251606481,90,90,90
2151601108,90,90,90
4351603651,90,90,90
8151606879,90,90,90
7251606478,90,90,90
2151601118,90,90,90
5251604536,90,90,90
2151601063,90,90,90
8351607239,90,90,90
7251606484,90,90,90
1351600416,90,90,90
5251604542,90,90,90
5251604535,90,90,90
5251604538,90,90,90
5251604530,90,90,90
5251604540,90,90,90
2151601067,90,90,90
4351603618,90,90,90
2151601069,90,90,90
1351600422,90,90,90
5251604547,100,90,100
5251604539,90,90,90
7251606475,90,90,90
5251604545,90,90,90
4351603617,90,90,90
7251606474,90,90,90
