id,student_id,login_time,ip_address,disk_id,mac_address
1,1051001,2024-06-27 8:18:40,6479_A779_C000_0145.,141333DF36EF,192.168.237.94
2,4451001,2024-06-27 8:19:01,WD-WCC6Y4RE95H7,C85ACF0D2FEA,192.168.10.12
3,4151502477,2024-06-27 8:19:17,S1K2NSAF301286,DC4A3E71C62B,10.10.13.17
4,4151602773,2024-06-27 8:21:14,5RX30WZN,4487FC9CA180,10.10.13.55
5,1651500863,2024-06-27 8:28:17,ZN10B59J,E0D55E7BBA41,192.168.0.108
6,1651500858,2024-06-27 8:28:27,Z3TY3GEV,1C1B0D3463E0,192.168.0.136
7,6351605702,2024-06-27 8:28:52,AA000000000000001492,E454E8D35E55,10.10.111.68
8,1651500862,2024-06-27 8:29:26,ZN10B5KP,E0D55E7BBA44,192.168.0.113
9,1651500861,2024-06-27 8:29:30,ZN1D89K4,B42E99B19C71,192.168.0.126
10,1651500866,2024-06-27 8:29:36,ZN1DC34Y,B42E99B40AB1,192.168.0.129
11,1651500865,2024-06-27 8:29:45,ZN10B6WZ,E0D55E7BB97E,192.168.0.114
12,1651500850,2024-06-27 8:30:00,ZN10BVXH,E0D55E7BC200,192.168.0.127
13,1651500867,2024-06-27 8:30:06,Z2A85VM5,1C1B0D3F01B3,192.168.0.106
14,1651500856,2024-06-27 8:30:12,ZN10B57R,E0D55E7BC201,192.168.0.121
15,1651500854,2024-06-27 8:30:27,ZN1093LM,E0D55E7BB80F,192.168.0.105
16,1151500142,2024-06-27 8:30:55,ZN1XRKF1,74563C201C31,192.168.29.18
17,1651500853,2024-06-27 8:30:55,ZN1D8EVR,B42E99B4250F,192.168.0.104
18,1651500851,2024-06-27 8:31:06,ZN1DBSGW,B42E99B1A984,192.168.0.100
19,3151601973,2024-06-27 8:31:48,0000_0000_0000_0001_00A0_7523_415A_0D92.,20881071D343,10.7.1.11
20,6351605696,2024-06-27 8:31:58,AA000000000000002460,E454E8D360F8,10.10.111.62
21,1651500852,2024-06-27 8:32:03,ZN10B57C,E0D55E7BC2B4,192.168.0.3
22,6351605697,2024-06-27 8:32:10,AA000000000000002718,E454E8D34DCB,10.10.111.63
23,1651500857,2024-06-27 8:33:08,ZN1D88T8,B42E99B1A926,192.168.0.135
24,6351605700,2024-06-27 8:34:10,0000_0000_0000_0000_00E0_4C14_EC23_6369.,40B0342C980A,10.10.111.66
25,1651500867,2024-06-27 8:34:27,Z2A85VM5,1C1B0D3F01B3,192.168.0.106
26,6351605705,2024-06-27 8:34:34,AA000000000000002913,E454E8D35F7F,10.10.111.71
27,6351605699,2024-06-27 8:34:40,AA000000000000002510,E454E8D35F7D,10.10.111.65
28,1151500129,2024-06-27 8:35:11,ZN1XRMY3,D85ED3C4EBE3,192.168.29.149
29,1151600149,2024-06-27 8:35:11,ZN1XQXH6,D85ED3C4E880,192.168.29.88
31,1151500143,2024-06-27 8:35:24,ZN1XQGQ7,74563C211E2C,192.168.29.245
32,1151500137,2024-06-27 8:35:31,ZN1XRN2Y,D85ED3C4EAFE,192.168.29.235
33,1151500138,2024-06-27 8:35:34,ZN1XS20H,74563C201DAE,192.168.29.138
34,1151500144,2024-06-27 8:35:42,ZN1XRNZA,D85ED3C4E8EE,192.168.29.253
35,1151500140,2024-06-27 8:35:56,ZN1XQGNR,74563C211C7D,192.168.29.7
36,1651500865,2024-06-27 8:36:08,Z2AXWJ1B,1C1B0D345AE6,192.168.0.158
37,6351605694,2024-06-27 8:36:29,2149064202398,E454E8D35F65,10.10.111.60
38,1151600148,2024-06-27 8:36:34,ZN1XRNPF,D85ED3C4E883,192.168.29.127
39,1651500863,2024-06-27 8:36:39,ZN10B59J,E0D55E7BBA41,192.168.0.108
40,1651500853,2024-06-27 8:36:52,ZN1D8EVR,B42E99B4250F,192.168.0.104
41,6351605703,2024-06-27 8:37:15,AA000000000000002911,E454E8D35079,10.10.111.69
42,4151002,2024-06-27 8:37:17,9RX73SY3,0AE0AFA70919,10.10.12.50
43,5351604619,2024-06-27 8:37:50,Z3TDMRPZ,FC4DD42F889F,192.168.1.83
44,5351604618,2024-06-27 8:37:50,Z3TFEJ7W,FC4DD4328F3B,192.168.1.21
45,5351604611,2024-06-27 8:37:50,WD-WCC6Y3NSJP5K,448A5B56CEE0,192.168.1.74
46,5351604610,2024-06-27 8:37:51,WCAV9Z164476,FC4DD43290CA,192.168.1.70
47,5351604613,2024-06-27 8:37:51,YS202309879094HP,FC4DD42F88C4,192.168.1.104
48,1151600153,2024-06-27 8:38:07,WD-WCC6Y2RCV1Z8,1C1B0D4D99AE,192.168.29.66
49,1151600154,2024-06-27 8:38:21,WD-WCC6Y7ARJ844,1C1B0D4EC3D1,192.168.29.69
50,5351604623,2024-06-27 8:38:27,Z3TFEM80,FC4DD4328F3E,192.168.1.51
51,5351604614,2024-06-27 8:38:27,W2ASB8VK,4437E6BB8D1A,192.168.1.20
52,1651500861,2024-06-27 8:38:31,ZN1D88YY,E0D55E7BB98E,192.168.0.132
