subjectId,qset,code_a,code_b,code_t,audio1,passage1,audio2,passage2,testaudio
62,4,6224104A,6224104B,T_62_4,6224104A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6224104A.mp3,6224104B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6224104B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_62_4.mp3
63,1,6324101A,6324101B,T_63_2,6324101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324101A.mp3,6324101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_63_2.mp3
63,2,6324102A,6324102B,T_63_2,6324102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324102A.mp3,6324102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_63_2.mp3
63,3,6324103A,6324103B,T_63_2,6324103A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324103A.mp3,6324103B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324103B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_63_2.mp3
63,4,6324104A,6324104B,T_63_3,6324104A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324104A.mp3,6324104B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/6324104B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_63_3.mp3
70,1,7024101A,7024101B,T_70_1,7024101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7024101A.mp3,7024101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7024101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_70_1.mp3
70,2,7024102A,7024102B,T_70_1,7024102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7024102A.mp3,7024102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7024102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_70_1.mp3
70,3,7024103A,7024103B,T_70_1,7024103A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7024103A.mp3,7024103B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7024103B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_70_1.mp3
71,7,7124107A,7124107B,T_71_2,7124107A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7124107A.mp3,7124107B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7124107B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_71_2.mp3
72,1,7224101A,7224101B,T_72_2,7224101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7224101A.mp3,7224101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7224101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_72_2.mp3
72,2,7224102A,7224102B,T_72_2,7224102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7224102A.mp3,7224102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7224102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_72_2.mp3
73,1,7324101A,7324101B,T_73_2,7324101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7324101A.mp3,7324101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/7324101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_73_2.mp3
